partner_ref,product,carrier,memory,storage,processor,price_new,price_mint,price_good,price_fair,price_broken,url
,apple-ipad-8th-gen,cellular,,128gb,,,75.0,60.0,45.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-10-2-8th-gen-2020
,apple-ipad-9th-gen,wi-fi,,64gb,,,75.0,65.0,30.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-10-2-9th-gen-2021
,apple-ipad-9th-gen,cellular,,64gb,,,80.0,70.0,35.0,14.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-10-2-9th-gen-2021
,apple-ipad-9th-gen,wi-fi,,256gb,,,90.0,80.0,45.0,14.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-10-2-9th-gen-2021
,apple-ipad-9th-gen,cellular,,256gb,,,95.0,85.0,50.0,18.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-10-2-9th-gen-2021
,apple-ipad-pro-11-2018,wi-fi,,64gb,,,170.0,140.0,80.0,30.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-1st-gen-2018
,apple-ipad-pro-11-2018,cellular,,64gb,,,185.0,155.0,95.0,35.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-1st-gen-2018
,apple-ipad-pro-11-2018,wi-fi,,256gb,,,205.0,175.0,115.0,35.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-1st-gen-2018
,apple-ipad-pro-11-2018,cellular,,256gb,,,220.0,190.0,130.0,40.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-1st-gen-2018
,apple-ipad-pro-11-2018,wi-fi,,512gb,,,230.0,205.0,145.0,37.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-1st-gen-2018
,apple-ipad-pro-11-2018,cellular,,512gb,,,245.0,220.0,160.0,42.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-1st-gen-2018
,apple-ipad-pro-11-2018,wi-fi,,1tb,,,250.0,225.0,170.0,40.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-1st-gen-2018
,apple-ipad-pro-11-2018,cellular,,1tb,,,265.0,240.0,180.0,45.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-1st-gen-2018
,apple-ipad-pro-11-2nd-gen-2020,wi-fi,,128gb,,,265.0,245.0,200.0,75.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-2nd-gen-2020
,apple-ipad-pro-11-2nd-gen-2020,cellular,,128gb,,,275.0,255.0,210.0,80.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-2nd-gen-2020
,apple-ipad-pro-11-2nd-gen-2020,wi-fi,,256gb,,,275.0,255.0,210.0,80.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-2nd-gen-2020
,apple-ipad-pro-11-2nd-gen-2020,cellular,,256gb,,,285.0,265.0,220.0,85.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-2nd-gen-2020
,apple-ipad-pro-11-2nd-gen-2020,wi-fi,,512gb,,,290.0,270.0,225.0,82.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-2nd-gen-2020
,apple-ipad-pro-11-2nd-gen-2020,cellular,,512gb,,,300.0,280.0,235.0,87.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-2nd-gen-2020
,apple-ipad-pro-11-2nd-gen-2020,wi-fi,,1tb,,,310.0,290.0,245.0,87.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-2nd-gen-2020
,apple-ipad-pro-11-2nd-gen-2020,cellular,,1tb,,,320.0,300.0,255.0,92.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-2nd-gen-2020
,apple-ipad-pro-11-3rd-gen-2021,wi-fi,,128gb,,,290.0,260.0,205.0,65.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-3rd-gen-2021
,apple-ipad-pro-11-3rd-gen-2021,cellular,,128gb,,,320.0,290.0,235.0,75.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-3rd-gen-2021
,apple-ipad-pro-11-3rd-gen-2021,wi-fi,,256gb,,,310.0,280.0,240.0,65.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-3rd-gen-2021
,apple-ipad-pro-11-3rd-gen-2021,cellular,,256gb,,,340.0,310.0,270.0,85.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-3rd-gen-2021
,apple-ipad-pro-11-3rd-gen-2021,wi-fi,,512gb,,,350.0,320.0,265.0,60.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-3rd-gen-2021
,apple-ipad-pro-11-3rd-gen-2021,cellular,,512gb,,,380.0,350.0,295.0,100.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-3rd-gen-2021
,apple-ipad-pro-11-3rd-gen-2021,wi-fi,,1tb,,,390.0,360.0,305.0,65.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-3rd-gen-2021
,apple-ipad-pro-11-3rd-gen-2021,cellular,,1tb,,,420.0,390.0,335.0,105.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-3rd-gen-2021
,apple-ipad-pro-11-3rd-gen-2021,wi-fi,,2tb,,,440.0,410.0,355.0,85.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-3rd-gen-2021
,apple-ipad-pro-11-3rd-gen-2021,cellular,,2tb,,,470.0,440.0,385.0,125.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-3rd-gen-2021
,apple-ipad-10th-gen,wi-fi,,64gb,,,140.0,110.0,70.0,25.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-10-9-10th-gen-2022
,apple-ipad-10th-gen,cellular,,64gb,,,170.0,140.0,100.0,35.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-10-9-10th-gen-2022
,apple-ipad-10th-gen,wi-fi,,256gb,,,170.0,140.0,100.0,35.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-10-9-10th-gen-2022
,apple-ipad-10th-gen,cellular,,256gb,,,200.0,170.0,130.0,45.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-10-9-10th-gen-2022
,apple-ipad-pro-11-4th-gen-2022,wi-fi,,128gb,,,370.0,330.0,285.0,155.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-4th-gen-2022
,apple-ipad-pro-11-4th-gen-2022,cellular,,128gb,,,400.0,360.0,315.0,175.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-4th-gen-2022
,apple-ipad-pro-11-4th-gen-2022,wi-fi,,256gb,,,420.0,380.0,335.0,170.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-4th-gen-2022
,apple-ipad-pro-11-4th-gen-2022,cellular,,256gb,,,450.0,410.0,365.0,190.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-4th-gen-2022
,apple-ipad-pro-11-4th-gen-2022,wi-fi,,512gb,,,445.0,405.0,360.0,180.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-4th-gen-2022
,apple-ipad-pro-11-4th-gen-2022,cellular,,512gb,,,475.0,435.0,390.0,200.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-4th-gen-2022
,apple-ipad-pro-11-4th-gen-2022,wi-fi,,1tb,,,520.0,480.0,435.0,195.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-4th-gen-2022
,apple-ipad-pro-11-4th-gen-2022,cellular,,1tb,,,550.0,510.0,465.0,215.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-4th-gen-2022
,apple-ipad-pro-11-4th-gen-2022,wi-fi,,2tb,,,570.0,530.0,485.0,215.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-4th-gen-2022
,apple-ipad-pro-11-4th-gen-2022,cellular,,2tb,,,600.0,560.0,515.0,235.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-4th-gen-2022
,apple-ipad-pro-13-m4-standard-glass-2024,wi-fi,,256gb,,,530.0,480.0,425.0,200.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-13-m4-standard-glass-2024
,apple-ipad-pro-13-m4-standard-glass-2024,cellular,,256gb,,,560.0,510.0,455.0,225.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-13-m4-standard-glass-2024
,apple-ipad-pro-13-m4-standard-glass-2024,wi-fi,,512gb,,,590.0,540.0,485.0,225.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-13-m4-standard-glass-2024
,apple-ipad-pro-13-m4-standard-glass-2024,cellular,,512gb,,,620.0,570.0,515.0,250.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-13-m4-standard-glass-2024
,apple-ipad-pro-13-m4-standard-glass-2024,wi-fi,,1tb,,,650.0,600.0,545.0,250.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-13-m4-standard-glass-2024
,apple-ipad-pro-13-m4-standard-glass-2024,cellular,,1tb,,,680.0,630.0,575.0,275.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-13-m4-standard-glass-2024
